Service Name,Physical Address,Physical Suburb,Physical State,Physical Post Code,2018 Aged Care Planning Region (ACPR),Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,2019 MMM Code,2016 SA2 Code,2016 SA2 Name,2016 SA3 Code,2016 SA3 Name,2023 LGA Name,2023 LGA Code,2017 PHN Code,2017 PHN Name,Latitude,Longitude
Western Health Transition Care Program,Gordon Street,FOOTSCRAY,VIC,3011,Western Metro,Transition Care,0,0,69,Department of Health,State Government,Major Cities of Australia,1,21348,Footscray,21303,Maribyrnong,Maribyrnong,24330,PHN201,North Western Melbourne,-37.78723,144.890254999999
Monash Health Transition Care Program,"Kingston Centre, Warrigal Road",CHELTENHAM,VIC,3192,Southern Metro,Transition Care,0,0,83,Department of Health,State Government,Major Cities of Australia,1,21188,Cheltenham - Highett (East),20803,Kingston,Kingston (Vic.),23430,PHN203,South Eastern Melbourne,-37.9524029999999,145.076831999999
Barwon Health Transition Care Program,Ryrie Street,GEELONG,VIC,3220,Barwon-South Western,Transition Care,0,0,54,Department of Health,State Government,Major Cities of Australia,1,21039,Geelong,20302,Geelong,Greater Geelong,22750,PHN206,Western Victoria,-38.1526849999999,144.371974999999
Anglicare Goodhew Gardens & Bay Breeze,2-28 Alexander Avenue,TAREN POINT,NSW,2229,South East Sydney,Residential,171,0,0,Anglican Community Services,Religious,Major Cities of Australia,1,11531,Sylvania - Taren Point,12801,Cronulla - Miranda - Caringbah,Sutherland,17150,PHN101,Central and Eastern Sydney,-34.0189889999999,151.125616
Bolton Clarke Redleaf Manor,16 Flavelle Street,CONCORD,NSW,2137,Inner West,Residential,116,0,0,RSL Care RDNS Limited,Charitable,Major Cities of Australia,1,11383,Concord - Mortlake - Cabarita,12001,Canada Bay,Canada Bay,11520,PHN101,Central and Eastern Sydney,-33.862498,151.099859
Bolton Clarke Heritage Lodge,194 Byangum Road,MURWILLUMBAH,NSW,2484,Far North Coast,Residential,115,0,0,RSL Care RDNS Limited,Charitable,Inner Regional Australia,1,11251,Murwillumbah,11203,Tweed Valley,Tweed,17550,PHN109,North Coast,-28.333043,153.373567
Inner West Transitional Aged Care Service,"Bldg 60, Concord Hospital",CONCORD,NSW,2137,Inner West,Transition Care,0,0,99,NSW State Government (NSW Ministry of Health),State Government,Major Cities of Australia,1,11384,Concord West - North Strathfield,12001,Canada Bay,Canada Bay,11520,PHN101,Central and Eastern Sydney,-33.8371179999999,151.091725999999
SESLHD Transition Care Program,301 Forbes Street,DARLINGHURST,NSW,2010,South East Sydney,Transition Care,0,0,143,NSW State Government (NSW Ministry of Health),State Government,Major Cities of Australia,1,11329,Darlinghurst,11703,Sydney Inner City,Sydney,17200,PHN101,Central and Eastern Sydney,-33.879634,151.217248
Nepean Aged Community Based Transitional Aged Care Program,"Lemongrove Community Health Centre, 13-29 GASCOIGNE STREET",PENRITH,NSW,2750,Nepean,Transition Care,0,0,51,NSW State Government (NSW Ministry of Health),State Government,Major Cities of Australia,1,11464,Penrith,12403,Penrith,Penrith,16350,PHN104,Nepean Blue Mountains,-33.75045,150.708619999999
Western Sydney Transitional Aged Care Program,"WESTMEAD HOSPITAL, 166-174 HAWKESBURY ROAD",WESTMEAD,NSW,2145,Western Sydney,Transition Care,0,0,103,NSW State Government (NSW Ministry of Health),State Government,Major Cities of Australia,1,11491,Northmead,12504,Parramatta,Parramatta,16260,PHN103,Western Sydney,-33.802413,150.988337
Metro South Transition Care Service,51 MCKECHNIE DRIVE,EIGHT MILE PLAINS,QLD,4113,Brisbane South,Transition Care,0,0,154,Queensland Health,State Government,Major Cities of Australia,1,31060,Eight Mile Plains,30303,Mt Gravatt,Brisbane,31000,PHN302,Brisbane South,-27.5798519999999,153.098159
Gold Coast Transition Care Program,"Bundall Community Health, 8 - 10 Karp Court",BUNDALL,QLD,4217,South Coast,Transition Care,0,0,104,Queensland Health,State Government,Major Cities of Australia,1,31268,Bundall,30910,Surfers Paradise,Gold Coast,33430,PHN303,Gold Coast,-28.001369,153.413175999999
Iris Lovett Gardiner Centre (ACES),5 Parkview Avenue,EAST BRUNSWICK,VIC,3057,Northern Metro,National Aboriginal and Torres Strait Islander Aged Care Program,25,69,0,Aboriginal Community Elders Services Inc,Community Based,Major Cities of Australia,1,21106,Brunswick East,20601,Brunswick - Coburg,Merri-bek,24700,PHN201,North Western Melbourne,-37.763756,144.981301999999
Lake Haven Court Aged Care Facility,5 Stratford Avenue,CHARMHAVEN,NSW,2263,Central Coast,Residential,40,0,0,Alino Living,Charitable,Major Cities of Australia,1,11048,Gorokan - Kanwal - Charmhaven,10202,Wyong,Central Coast (NSW),11650,PHN108,Hunter New England and Central Coast,-33.2389069999999,151.503778
IRT Macarthur,1 Hyde Parade,CAMPBELLTOWN,NSW,2560,South West Sydney,Residential,60,0,0,Illawarra Retirement Trust,Community Based,Major Cities of Australia,1,11437,Campbelltown - Woodbine,12302,Campbelltown (NSW),Campbelltown (NSW),11500,PHN105,South Western Sydney,-34.074817,150.806376999999
Bolton Clarke Darlington,126 Leisure Drive,BANORA POINT,NSW,2486,Far North Coast,Residential,90,0,0,RSL Care RDNS Limited,Charitable,Major Cities of Australia,1,11550,Banora Point,11203,Tweed Valley,Tweed,17550,PHN109,North Coast,-28.2130359999999,153.531983999999
Malandari Flexible Aged Care Service (Borroloola),2087 Robinson Road,BORROLOOLA,NT,854,Katherine,National Aboriginal and Torres Strait Islander Aged Care Program,12,7,0,Mabunji Aboriginal Resource Indigenous Corporation,Community Based,Very Remote Australia,7,71066,Gulf,70205,Katherine,Roper Gulf,73600,PHN701,Northern Territory,-16.0702959999999,136.304639
