Service Name,Physical Address,Physical Suburb,Physical State,Physical Post Code,2018 Aged Care Planning Region (ACPR),Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,2019 MMM Code,2016 SA2 Code,2016 SA2 Name,2016 SA3 Code,2016 SA3 Name,2023 LGA Name,2023 LGA Code,2017 PHN Code,2017 PHN Name,Latitude,Longitude
Wongaburra Garden Settlement Hostel,210 Brisbane Street,BEAUDESERT,QLD,4285,Logan River Valley,Residential,125,0,0,Wongaburra Society,Community Based,Inner Regional Australia,4,31305,Beaudesert,31101,Beaudesert,Scenic Rim,36510,PHN302,Brisbane South,-27.9697229999999,152.994556999999
Torbay,43 Exeter Street,TORQUAY,QLD,4655,Wide Bay,Residential,134,0,0,Torbay Lifestyles and Care Limited,Community Based,Inner Regional Australia,2,31520,Torquay - Scarness - Kawungan,31904,Hervey Bay,Fraser Coast,33220,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-25.295981,152.865552
Southern Cross Care Chinchilla - Illoura Village,22-30 Zeller Street,CHINCHILLA,QLD,4413,Darling Downs,Residential,81,0,0,Southern Cross Care (QLD) Ltd,Religious,Outer Regional Australia,4,31172,Chinchilla,30701,Darling Downs (West) - Maranoa,Western Downs,37310,PHN304,Darling Downs and West Moreton,-26.7521279999999,150.622881
Ningana,25 HORACE Street,DALBY,QLD,4405,Darling Downs,Residential,48,0,0,The Dalby and District Aged Persons' Homes Association,Community Based,Inner Regional Australia,4,31183,Wambo,30702,Darling Downs - East,Western Downs,37310,PHN304,Darling Downs and West Moreton,-27.1731319999999,151.269855
Bolton Clarke Milford Grange,32 Grange Road,EASTERN HEIGHTS,QLD,4305,West Moreton,Residential,94,0,0,RSL Care RDNS Limited,Charitable,Major Cities of Australia,1,31287,Ipswich - East,31003,Ipswich Inner,Ipswich,33960,PHN304,Darling Downs and West Moreton,-27.6242139999999,152.778742999999
Regis Whitfield,82-120 McManus Street,WHITFIELD,QLD,4870,Far North,Residential,130,0,0,Regis Aged Care Pty Ltd,Private Incorporated Body,Outer Regional Australia,2,31156,Whitfield - Edge Hill,30602,Cairns - South,Cairns,32080,PHN307,Northern Queensland,-16.906503,145.728521
St Vincent Care Services Carseldine,736 Beams Road,CARSELDINE,QLD,4034,Brisbane North,Residential,179,0,0,St Vincent's Care Services Ltd,Religious,Major Cities of Australia,1,31024,Carseldine,30201,Bald Hills - Everton Park,Brisbane,31000,PHN301,Brisbane North,-27.346865,153.010977999999
St Vincent's Care Services Bardon,59 Main Avenue,BARDON,QLD,4065,Brisbane North,Residential,96,0,0,St Vincent's Care Services Ltd,Religious,Major Cities of Australia,1,31134,Bardon,30504,Brisbane Inner - West,Brisbane,31000,PHN301,Brisbane North,-27.467582,152.983777
Nazareth Residential Aged Care,23 Hawthorne Street,WOOLLOONGABBA,QLD,4102,Brisbane South,Residential,32,0,0,The Nazareth Lutheran Church of South Brisbane,Religious,Major Cities of Australia,1,31058,Woolloongabba,30302,Holland Park - Yeronga,Brisbane,31000,PHN302,Brisbane South,-27.487987,153.034316999999
Bolton Clarke Sunset Ridge,"Lot 61, Svendsen Road",ZILZIE,QLD,4710,Fitzroy,Residential,120,0,0,RSL Care RDNS Limited,Charitable,Inner Regional Australia,5,31207,Emu Park,30803,Rockhampton,Livingstone,34530,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-23.273306,150.813942999999
Kabara Aged Care,20 Topaz Street,COOROY,QLD,4563,Sunshine Coast,Residential,92,0,0,NoosaCare Inc,Community Based,Inner Regional Australia,2,31549,Noosa Hinterland,31608,Noosa Hinterland,Noosa,35740,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-26.421558,152.914894
Riverview Gardens Aged Care Plus Centre,2 MOGGILL FERRY Road,RIVERVIEW,QLD,4303,West Moreton,Residential,167,0,0,The Salvation Army (Queensland) Property Trust,Religious,Major Cities of Australia,1,31295,Riverview,31003,Ipswich Inner,Ipswich,33960,PHN304,Darling Downs and West Moreton,-27.5929569999999,152.849491
Ozcare Keith Turnbull Place,52 Imperial Parade,LABRADOR,QLD,4215,South Coast,Residential,137,0,0,Ozcare,Charitable,Major Cities of Australia,1,31238,Labrador,30903,Gold Coast - North,Gold Coast,33430,PHN303,Gold Coast,-27.944531,153.405158999999
Ozcare Ozanam Villa - Clontarf,48 Tainton Street,CLONTARF,QLD,4019,Cabool,Residential,122,0,0,Ozcare,Charitable,Major Cities of Australia,1,31377,Clontarf,31305,Redcliffe,Moreton Bay,35010,PHN301,Brisbane North,-27.249818,153.094474999999
Regis Kirwan,1 Emerald Street,KIRWAN,QLD,4817,Northern,Residential,127,0,0,Regis Aged Care Pty Ltd,Private Incorporated Body,Outer Regional Australia,2,31481,Kirwan - East,31802,Townsville,Townsville,37010,PHN307,Northern Queensland,-19.306104,146.737393999999
Churches of Christ Crows Nest Aged Care Service,8 Grace Street,CROWS NEST,QLD,4355,Darling Downs,Residential,82,0,0,Churches of Christ in Queensland,Religious,Inner Regional Australia,5,31179,Crows Nest - Rosalie,30702,Darling Downs - East,Toowoomba,36910,PHN304,Darling Downs and West Moreton,-27.2614389999999,152.052767999999
Taralga Retirement Village Hostel,93 High Street,JANDOWAE,QLD,4410,Darling Downs,Residential,22,0,0,Taralga Retirement Village Incorporated,Community Based,Outer Regional Australia,5,31183,Wambo,30702,Darling Downs - East,Western Downs,37310,PHN304,Darling Downs and West Moreton,-26.784562,151.115079
Pyramid Residential Care Centre,65 Cairns Road,GORDONVALE,QLD,4865,Far North,Residential,83,0,0,Pyramid Residential Care Centre,Community Based,Outer Regional Australia,2,31148,Gordonvale - Trinity,30602,Cairns - South,Cairns,32080,PHN307,Northern Queensland,-17.086763,145.779262999999
Southern Cross Care Allora - Homestead,62 Forde Street,ALLORA,QLD,4362,Darling Downs,Residential,29,0,0,Southern Cross Care (QLD) Ltd,Religious,Inner Regional Australia,5,31186,Southern Downs - West,30703,Granite Belt,Southern Downs,36660,PHN304,Darling Downs and West Moreton,-28.032052,151.980261
Aloaka Care Centre,52 Taylor Street,KILCOY,QLD,4515,Cabool,Residential,40,0,0,Sundale Ltd,Community Based,Inner Regional Australia,5,31370,Kilcoy,31303,Caboolture Hinterland,Somerset,36580,PHN301,Brisbane North,-26.938094,152.564922999999
Southern Cross Care Holland Park - Duhig Village,85 Seville Road,HOLLAND PARK,QLD,4121,Brisbane South,Residential,142,0,0,Southern Cross Care (QLD) Ltd,Religious,Major Cities of Australia,1,31056,Holland Park,30302,Holland Park - Yeronga,Brisbane,31000,PHN302,Brisbane South,-27.523014,153.073069
McLean Care CWA House,21 Cherry Street,OAKEY,QLD,4401,Darling Downs,Residential,38,0,0,McLean Care Ltd,Charitable,Inner Regional Australia,5,31180,Jondaryan,30702,Darling Downs - East,Toowoomba,36910,PHN304,Darling Downs and West Moreton,-27.433125,151.717139
Good Shepherd Lodge,15 McIntyre Street,MACKAY,QLD,4740,Mackay,Residential,168,0,0,Good Shepherd Lodge Ltd,Charitable,Inner Regional Australia,2,31343,East Mackay,31202,Mackay,Mackay,34770,PHN307,Northern Queensland,-21.1537599999999,149.194152
Anglicare SQ Abri Home for the Aged,37 Bauer Street,SOUTHPORT,QLD,4215,South Coast,Residential,59,0,0,The Corporation of the Synod of the Diocese of Brisbane,Religious,Major Cities of Australia,1,31541,Southport - South,30909,Southport,Gold Coast,33430,PHN303,Gold Coast,-27.976368,153.415819999999
Maranatha Aged Care,1582 Anzac Avenue,KALLANGUR,QLD,4503,Cabool,Residential,128,0,0,Christadelphian Homes Limited,Religious,Major Cities of Australia,1,31388,Dakabin - Kallangur,31402,North Lakes,Moreton Bay,35010,PHN301,Brisbane North,-27.24522,153.009716999999
Regis Lodges on George,54 Henzell Street,KIPPA-RING,QLD,4021,Cabool,Residential,132,0,0,CPSM Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,31380,Rothwell - Kippa-Ring,31305,Redcliffe,Moreton Bay,35010,PHN301,Brisbane North,-27.231238,153.092657
Regis Redlynch,15 Short Street,REDLYNCH,QLD,4870,Far North,Residential,194,0,0,Regis Aged Care Pty Ltd,Private Incorporated Body,Outer Regional Australia,2,31141,Redlynch,30601,Cairns - North,Cairns,32080,PHN307,Northern Queensland,-16.889669,145.69837
Blue Care Mareeba Aged Care Facility,7 MacRae Street,MAREEBA,QLD,4880,Far North,Residential,64,0,0,The Uniting Church in Australia Property Trust (Q.),Religious,Outer Regional Australia,4,31170,Mareeba,30605,Tablelands (East) - Kuranda,Mareeba,34880,PHN307,Northern Queensland,-16.985043,145.423897
Blue Care Mackay Homefield Aged Care Facility,97 George Street,MACKAY,QLD,4740,Mackay,Residential,74,0,0,The Uniting Church in Australia Property Trust (Q.),Religious,Inner Regional Australia,2,31358,West Mackay,31202,Mackay,Mackay,34770,PHN307,Northern Queensland,-21.149253,149.169648999999
Mercy Community Services - Emmaus,131 Queens Road,NUDGEE,QLD,4014,Brisbane North,Residential,209,0,0,Mercy Community Services SEQ Limited,Charitable,Major Cities of Australia,1,31039,Nudgee - Banyo,30203,Nundah,Brisbane,31000,PHN301,Brisbane North,-27.361198,153.092283
Lutheran Services - Orana,24 MacDiarmid Street,KINGAROY,QLD,4610,Wide Bay,Residential,94,0,0,Lutheran Church of Australia - Queensland District,Religious,Inner Regional Australia,4,31505,Kingaroy,31902,Burnett,South Burnett,36630,PHN304,Darling Downs and West Moreton,-26.531797,151.84458
Lutheran Services - Tabeel,27 Ambrose Street,LAIDLEY,QLD,4341,West Moreton,Residential,85,0,0,Lutheran Church of Australia - Queensland District,Religious,Inner Regional Australia,5,31280,Lockyer Valley - East,31002,Ipswich Hinterland,Lockyer Valley,34580,PHN304,Darling Downs and West Moreton,-27.6306559999999,152.395612999999
Lutheran Services - Wahroonga,1 Wahroonga Street,BILOELA,QLD,4715,Fitzroy,Residential,65,0,0,Lutheran Church of Australia - Queensland District,Religious,Outer Regional Australia,4,31529,Biloela,30804,Biloela,Banana,30370,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-24.408165,150.516149
Lutheran Services - Salem,280 HUME Street,SOUTH TOOWOOMBA,QLD,4350,Darling Downs,Residential,101,0,0,Lutheran Church of Australia - Queensland District,Religious,Inner Regional Australia,2,31456,Toowoomba - Central,31701,Toowoomba,Toowoomba,36910,PHN304,Darling Downs and West Moreton,-27.57861,151.955421999999
Lutheran Services - Trinder Park,10 Laurel Street,WOODRIDGE,QLD,4114,Logan River Valley,Residential,156,0,0,Lutheran Church of Australia - Queensland District,Religious,Major Cities of Australia,1,31336,Woodridge,31106,Springwood - Kingston,Logan,34590,PHN302,Brisbane South,-27.629562,153.094166999999
Finncare Aged Care,343 Cleveland-Redland Bay Road,THORNLANDS,QLD,4164,Brisbane South,Residential,61,0,0,Finncare Incorporated,Community Based,Major Cities of Australia,1,31012,Thornlands,30102,Cleveland - Stradbroke,Redland,36250,PHN302,Brisbane South,-27.565863,153.272265
Lutheran Services - Cooinda Aged Care Centre,2 Cooinda Street,GYMPIE,QLD,4570,Sunshine Coast,Residential,164,0,0,Lutheran Church of Australia - Queensland District,Religious,Inner Regional Australia,3,31512,Gympie - North,31903,Gympie - Cooloola,Gympie,33620,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-26.1709299999999,152.66263
Carramar Aged Care,186 Cooroy Noosa Road,TEWANTIN,QLD,4565,Sunshine Coast,Residential,175,0,0,NoosaCare Inc,Community Based,Major Cities of Australia,1,31438,Tewantin,31605,Noosa,Noosa,35740,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-26.3983269999999,153.010843999999
Garden City Retirement Home,33 Tryon Street,UPPER MOUNT GRAVATT,QLD,4122,Brisbane South,Residential,106,0,0,Alzheimer's Association of Queensland Inc,Charitable,Major Cities of Australia,1,31065,Upper Mount Gravatt,30303,Mt Gravatt,Brisbane,31000,PHN302,Brisbane South,-27.56016,153.085033
McLean Care Yallambee,34-40 Margaret Street,MILLMERRAN,QLD,4357,Darling Downs,Residential,55,0,0,McLean Care Ltd,Charitable,Outer Regional Australia,5,31181,Millmerran,30702,Darling Downs - East,Toowoomba,36910,PHN304,Darling Downs and West Moreton,-27.8767819999999,151.272996
PresCare - Groundwater Lodge,165 ARNAUD Street,GRANVILLE,QLD,4650,Wide Bay,Residential,60,0,0,Apollo Care Operations Pty Ltd,Private Incorporated Body,Inner Regional Australia,3,31523,Granville,31905,Maryborough,Fraser Coast,33220,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-25.542628,152.721621999999
Beaumont Care Roslyn Lodge,24  MAIN WESTERN ROAD,NORTH TAMBORINE,QLD,4272,Logan River Valley,Residential,41,0,0,Beaumont Care (Holdings) Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,31242,Tamborine - Canungra,30904,Gold Coast Hinterland,Scenic Rim,36510,PHN303,Gold Coast,-27.9299439999999,153.185222
PresCare - Alexandra Gardens,20 Withers Street,ROCKHAMPTON DC,QLD,4701,Fitzroy,Residential,94,0,0,Apollo Care Operations Pty Ltd,Private Incorporated Body,Inner Regional Australia,2,31215,Parkhurst - Kawana,30803,Rockhampton,Rockhampton,36370,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-23.340487,150.50487
Churches of Christ Rockingham Aged Care Service,40 Jamieson Street,CARDWELL,QLD,4849,Far North,Residential,62,0,0,Churches of Christ in Queensland,Religious,Outer Regional Australia,5,31161,Tully,30603,Innisfail - Cassowary Coast,Cassowary Coast,32260,PHN307,Northern Queensland,-18.249555,146.015559999999
Bethesda Aged Care Plus Centre,58 TALFORD Street,THE RANGE,QLD,4700,Fitzroy,Residential,50,0,0,The Salvation Army (Queensland) Property Trust,Religious,Inner Regional Australia,2,31222,The Range - Allenstown,30803,Rockhampton,Rockhampton,36370,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-23.379521,150.497418
Dalrymple Villa,15 Fraser Street,RICHMOND HILL,QLD,4820,Northern,Residential,89,0,0,Dalrymple Villa Inc,Charitable,Outer Regional Australia,4,31462,Charters Towers,31801,Charters Towers - Ayr - Ingham,Charters Towers,32310,PHN307,Northern Queensland,-20.0662829999999,146.251524999999
Southern Cross Care Nanango - Karinya,39 Brisbane Street,NANANGO,QLD,4615,Wide Bay,Residential,40,0,0,Southern Cross Care (QLD) Ltd,Religious,Inner Regional Australia,5,31509,Nanango,31902,Burnett,South Burnett,36630,PHN304,Darling Downs and West Moreton,-26.679879,152.005591
Blue Care Toogoolawah Alkira Aged Care Facility,2 Charles Street,TOOGOOLAWAH,QLD,4313,West Moreton,Residential,41,0,0,The Uniting Church in Australia Property Trust (Q.),Religious,Inner Regional Australia,5,31278,Esk,31002,Ipswich Hinterland,Somerset,36580,PHN304,Darling Downs and West Moreton,-27.0814279999999,152.375168
Blue Care Kirra Aged Care Facility,24 COOLANGATTA Road,COOLANGATTA,QLD,4225,South Coast,Residential,70,0,0,The Uniting Church in Australia Property Trust (Q.),Religious,Major Cities of Australia,1,31230,Coolangatta,30902,Coolangatta,Gold Coast,33430,PHN303,Gold Coast,-28.1704709999999,153.527715
Bowder Care Centre,35 Doolan Street,NAMBOUR,QLD,4560,Sunshine Coast,Residential,32,0,0,Sundale Ltd,Community Based,Major Cities of Australia,1,31548,Nambour,31607,Nambour,Sunshine Coast,36720,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-26.6280889999999,152.952970999999
Blue Care Bundaberg Pioneer Aged Care Facility,195 Barolin Street,BUNDABERG,QLD,4670,Wide Bay,Residential,111,0,0,The Uniting Church in Australia Property Trust (Q.),Religious,Inner Regional Australia,2,31502,Walkervale - Avenell Heights,31901,Bundaberg,Bundaberg,31820,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-24.894973,152.359336
Sinnamon Village - Nash Court,620 Seventeen Mile Rocks Road,SINNAMON PARK,QLD,4073,Brisbane South,Residential,49,0,0,Wesley Mission Queensland Limited,Charitable,Major Cities of Australia,1,31084,Seventeen Mile Rocks - Sinnamon Park,30401,Centenary,Brisbane,31000,PHN302,Brisbane South,-27.538141,152.949290999999
Sinnamon Village - Kentish Court,620 Seventeen Mile Rocks Road,SINNAMON PARK,QLD,4073,Brisbane South,Residential,68,0,0,Wesley Mission Queensland Limited,Charitable,Major Cities of Australia,1,31084,Seventeen Mile Rocks - Sinnamon Park,30401,Centenary,Brisbane,31000,PHN302,Brisbane South,-27.538141,152.949290999999
Sinnamon Village - Jacobs Court,620 Seventeen Mile Rocks Road,SINNAMON PARK,QLD,4073,Brisbane South,Residential,51,0,0,Wesley Mission Queensland Limited,Charitable,Major Cities of Australia,1,31084,Seventeen Mile Rocks - Sinnamon Park,30401,Centenary,Brisbane,31000,PHN302,Brisbane South,-27.538141,152.949290999999
Sinnamon Village - Knowles Court,620 Seventeen Mile Rocks Road,SINNAMON PARK,QLD,4073,Brisbane South,Residential,53,0,0,Wesley Mission Queensland Limited,Charitable,Major Cities of Australia,1,31084,Seventeen Mile Rocks - Sinnamon Park,30401,Centenary,Brisbane,31000,PHN302,Brisbane South,-27.538141,152.949290999999
Sinnamon Village - Reid Court,620 Seventeen Mile Rocks Road,SINNAMON PARK,QLD,4073,Brisbane South,Residential,52,0,0,Wesley Mission Queensland Limited,Charitable,Major Cities of Australia,1,31084,Seventeen Mile Rocks - Sinnamon Park,30401,Centenary,Brisbane,31000,PHN302,Brisbane South,-27.538141,152.949290999999
Wheller Gardens - John Wesley Gardens,19 Halsmere Street,GEEBUNG,QLD,4034,Brisbane North,Residential,144,0,0,Wesley Mission Queensland Limited,Charitable,Major Cities of Australia,1,31030,Geebung,30202,Chermside,Brisbane,31000,PHN301,Brisbane North,-27.3767309999999,153.037623999999
Wheller Gardens - Emmaus Village,930 Gympie Road,CHERMSIDE,QLD,4032,Brisbane North,Residential,58,0,0,Wesley Mission Queensland Limited,Charitable,Major Cities of Australia,1,31028,Chermside,30202,Chermside,Brisbane,31000,PHN301,Brisbane North,-27.383329,153.026758
Wheller Gardens - St Marks House,930 Gympie Road,CHERMSIDE,QLD,4032,Brisbane North,Residential,66,0,0,Wesley Mission Queensland Limited,Charitable,Major Cities of Australia,1,31028,Chermside,30202,Chermside,Brisbane,31000,PHN301,Brisbane North,-27.383329,153.026758
Wheller Gardens - Cooper House,930 Gympie Road,CHERMSIDE,QLD,4032,Brisbane North,Residential,60,0,0,Wesley Mission Queensland Limited,Charitable,Major Cities of Australia,1,31028,Chermside,30202,Chermside,Brisbane,31000,PHN301,Brisbane North,-27.383329,153.026758
Regis Sandgate - Musgrave,60 Wakefield Street,SANDGATE,QLD,4017,Brisbane North,Residential,272,0,0,Regis Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,31044,Sandgate - Shorncliffe,30204,Sandgate,Brisbane,31000,PHN301,Brisbane North,-27.311215,153.061544999999
Blue Care Ingham Bluehaven Aged Care Facility,58 Cassady Street,INGHAM,QLD,4850,Northern,Residential,50,0,0,The Uniting Church in Australia Property Trust (Q.),Religious,Outer Regional Australia,5,31464,Ingham,31801,Charters Towers - Ayr - Ingham,Hinchinbrook,33800,PHN307,Northern Queensland,-18.6449679999999,146.173198
Hope Vale Aged Hostel,Thiele Street,HOPE VALE,QLD,4895,Far North,Residential,20,0,0,Hope Vale Aboriginal Shire Council,Local Government,Remote Australia,6,31396,Cape York,31501,Far North,Hope Vale,33830,PHN307,Northern Queensland,-15.293225,145.108971999999
Blue Care Bli Bli Aged Care Facility,20 Lefoes Road,BLI BLI,QLD,4560,Sunshine Coast,Residential,92,0,0,The Uniting Church in Australia Property Trust (Q.),Religious,Major Cities of Australia,1,31545,Bli Bli,31607,Nambour,Sunshine Coast,36720,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-26.6136799999999,153.039073
MiCare Prins Willem Alexander Lodge,62 Collingwood Road,BIRKDALE,QLD,4159,Brisbane South,Residential,189,0,0,MiCare Ltd,Community Based,Major Cities of Australia,1,31003,Birkdale,30101,Capalaba,Redland,36250,PHN302,Brisbane South,-27.496034,153.21877
Southern Cross Care Miles - Carinya,6 Wallen Street,MILES,QLD,4415,Darling Downs,Residential,20,0,0,Southern Cross Care (QLD) Ltd,Religious,Outer Regional Australia,5,31175,Miles - Wandoan,30701,Darling Downs (West) - Maranoa,Western Downs,37310,PHN304,Darling Downs and West Moreton,-26.657436,150.189681
Blue Care Beenleigh Bethania Haven Aged Care Facility,67-71 Station Road,BETHANIA,QLD,4205,Logan River Valley,Residential,50,0,0,The Uniting Church in Australia Property Trust (Q.),Religious,Major Cities of Australia,1,31323,Bethania - Waterford,31105,Loganlea - Carbrook,Logan,34590,PHN302,Brisbane South,-27.689506,153.158308
Ridgehaven Retirement Complex,32 Stuart Street,MONTO,QLD,4630,Wide Bay,Residential,36,0,0,Aged Care Monto Inc,Community Based,Outer Regional Australia,5,31508,Monto - Eidsvold,31902,Burnett,North Burnett,35760,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-24.866975,151.111537999999
St Paul de Chartres Residential Aged Care,12 Fedrick Street,BORONIA HEIGHTS,QLD,4124,Logan River Valley,Residential,98,0,0,Sisters of St Paul de Chartres Australia,Religious,Major Cities of Australia,1,31311,Boronia Heights - Park Ridge,31103,Browns Plains,Logan,34590,PHN302,Brisbane South,-27.68869,153.029739
Blue Care Warana Beachwood Aged Care Facility,124 Nicklin Way,WARANA,QLD,4575,Sunshine Coast,Residential,60,0,0,The Uniting Church in Australia Property Trust (Q.),Religious,Major Cities of Australia,1,31423,Parrearra - Warana,31602,Caloundra,Sunshine Coast,36720,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-26.7145979999999,153.129029
St Vincent's Care Services Arundel,101 Allied Drive,ARUNDEL,QLD,4214,South Coast,Residential,50,0,0,St Vincent's Care Services Ltd,Religious,Major Cities of Australia,1,31235,Arundel,30903,Gold Coast - North,Gold Coast,33430,PHN303,Gold Coast,-27.9400289999999,153.382306
Lions Haven For The Aged,9 Pendraat Parade,HOPE ISLAND,QLD,4212,South Coast,Residential,121,0,0,Lions Haven for the Aged Limited,Charitable,Major Cities of Australia,1,31253,Hope Island,30907,Ormeau - Oxenford,Gold Coast,33430,PHN303,Gold Coast,-27.8732259999999,153.360486
Churches of Christ Homesteads Aged Care Service,64 Billabirra Crescent,NERANG,QLD,4211,South Coast,Residential,41,0,0,Churches of Christ in Queensland,Religious,Major Cities of Australia,1,31248,Nerang - Mount Nathan,30906,Nerang,Gold Coast,33430,PHN303,Gold Coast,-27.988237,153.315998
Blue Care Lawnton Pine Woods Aged Care Facility,260 Francis Road,LAWNTON,QLD,4501,Cabool,Residential,93,0,0,The Uniting Church in Australia Property Trust (Q.),Religious,Major Cities of Australia,1,31392,Lawnton,31403,Strathpine,Moreton Bay,35010,PHN301,Brisbane North,-27.2823689999999,152.95652
Woombye Care,26 Redmonds Road,WOOMBYE,QLD,4559,Sunshine Coast,Residential,65,0,0,Woombye Care Incorporated,Community Based,Major Cities of Australia,1,31548,Nambour,31607,Nambour,Sunshine Coast,36720,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-26.657222,152.952485999999
Blue Care Alexandra Hills Nandeebie Aged Care Facility,87 Winchester Road,ALEXANDRA HILLS,QLD,4161,Brisbane South,Residential,76,0,0,The Uniting Church in Australia Property Trust (Q.),Religious,Major Cities of Australia,1,31001,Alexandra Hills,30101,Capalaba,Redland,36250,PHN302,Brisbane South,-27.5282249999999,153.233535999999
Blue Care Elanora Pineshaven Aged Care Facility,17 Applecross Way,ELANORA,QLD,4221,South Coast,Residential,50,0,0,The Uniting Church in Australia Property Trust (Q.),Religious,Major Cities of Australia,1,31233,Elanora,30902,Coolangatta,Gold Coast,33430,PHN303,Gold Coast,-28.126369,153.464055999999
Murroona Gardens,Wests Lane,BOWEN,QLD,4805,Northern,Residential,104,0,0,Bowen Old Peoples Homes Society,Community Based,Outer Regional Australia,4,31337,Bowen,31201,Bowen Basin - North,Whitsunday,37340,PHN307,Northern Queensland,-19.990707,148.239015999999
TriCare Pt Vernon Aged Care Residence,193 Esplanade -,POINT VERNON,QLD,4655,Wide Bay,Residential,57,0,0,TriCare Pt Vernon Aged Care Pty Ltd,Private Incorporated Body,Inner Regional Australia,2,31519,Point Vernon,31904,Hervey Bay,Fraser Coast,33220,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-25.257856,152.808893
Berlasco Court Caring Centre,150 Central Avenue,INDOOROOPILLY,QLD,4068,Brisbane North,Residential,115,0,0,The Ethnic Communities Council of Queensland Limited,Charitable,Major Cities of Australia,1,31094,Indooroopilly,30403,Sherwood - Indooroopilly,Brisbane,31000,PHN301,Brisbane North,-27.503107,152.978739999999
Windsor Aged Care Services,26 Palmer Street,WINDSOR,QLD,4030,Brisbane North,Residential,73,0,0,Alzheimer's Association of Queensland Inc,Charitable,Major Cities of Australia,1,31130,Windsor,30503,Brisbane Inner - North,Brisbane,31000,PHN301,Brisbane North,-27.429205,153.031612999999
Sunnymeade Park Aged Care Community,362-376 King Street,CABOOLTURE,QLD,4510,Cabool,Residential,172,0,0,Jomal Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,31365,Caboolture,31302,Caboolture,Moreton Bay,35010,PHN301,Brisbane North,-27.070612,152.919891
Central & Upper Burnett District Home for the Aged Nursing Home,46-48 Capper Street,GAYNDAH,QLD,4625,Wide Bay,Residential,52,0,0,The Central & Upper Burnett District Home for the Aged,Community Based,Outer Regional Australia,5,31503,Gayndah - Mundubbera,31902,Burnett,North Burnett,35760,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-25.6268859999999,151.613453999999
Broadwater Grove Care Community,55 Worendo Street,SOUTHPORT,QLD,4215,South Coast,Residential,94,0,0,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,31540,Southport - North,30909,Southport,Gold Coast,33430,PHN303,Gold Coast,-27.9603159999999,153.406737999999
Regis Greenbank,271 MIDDLE Road,BORONIA HEIGHTS,QLD,4124,Logan River Valley,Residential,161,0,0,Retirement Care Australia (Logan) Pty Limited,Publicly Listed Company,Major Cities of Australia,1,31311,Boronia Heights - Park Ridge,31103,Browns Plains,Logan,34590,PHN302,Brisbane South,-27.685334,153.009992
Nazareth House Wynnum,272 Wynnum North Road,WYNNUM,QLD,4178,Brisbane South,Residential,126,0,0,Nazareth Care,Religious,Major Cities of Australia,1,31020,Wynnum,30103,Wynnum - Manly,Brisbane,31000,PHN302,Brisbane South,-27.430285,153.159301999999
Carinya Home For The Aged,1 Mills Street,ATHERTON,QLD,4883,Far North,Residential,131,0,0,Carinya Home for the Aged,Community Based,Outer Regional Australia,4,31166,Atherton,30605,Tablelands (East) - Kuranda,Tablelands,36820,PHN307,Northern Queensland,-17.26819,145.48748
Southern Cross Care Raceview - St Mary's,129 Wildey Street,RACEVIEW,QLD,4305,West Moreton,Residential,73,0,0,Southern Cross Care (QLD) Ltd,Religious,Major Cities of Australia,1,31293,Raceview,31003,Ipswich Inner,Ipswich,33960,PHN304,Darling Downs and West Moreton,-27.641624,152.779656999999
Blue Care Arundel Woodlands Lodge Aged Care Facility,29 Melbourne Road,ARUNDEL,QLD,4214,South Coast,Residential,69,0,0,The Uniting Church in Australia Property Trust (Q.),Religious,Major Cities of Australia,1,31235,Arundel,30903,Gold Coast - North,Gold Coast,33430,PHN303,Gold Coast,-27.942457,153.385988999999
Churches of Christ Buckingham Gardens Aged Care Service,8 Buckingham Street,ALEXANDRA HILLS,QLD,4161,Brisbane South,Residential,50,0,0,Churches of Christ in Queensland,Religious,Major Cities of Australia,1,31001,Alexandra Hills,30101,Capalaba,Redland,36250,PHN302,Brisbane South,-27.5200959999999,153.228701
